initial_alias,converted_alias,name,description,namespace
54,ENSG00000102575,ACP5,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]",ENTREZGENE_ACC
27034,ENSG00000151498,ACAD8,acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87],ENTREZGENE_ACC
28976,ENSG00000177646,ACAD9,acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497],ENTREZGENE_ACC
34,ENSG00000117054,ACADM,acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89],ENTREZGENE_ACC
35,ENSG00000122971,ACADS,acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90],ENTREZGENE_ACC
36,ENSG00000196177,ACADSB,acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91],ENTREZGENE_ACC
80724,ENSG00000111271,ACAD10,acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597],ENTREZGENE_ACC
84129,ENSG00000240303,ACAD11,acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211],ENTREZGENE_ACC
134526,ENSG00000172497,ACOT12,acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436],ENTREZGENE_ACC
48,ENSG00000122729,ACO1,aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117],ENTREZGENE_ACC
50,ENSG00000100412,ACO2,aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118],ENTREZGENE_ACC
1571,ENSG00000130649,CYP2E1,cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631],ENTREZGENE_ACC
112611,ENSG00000013392,RWDD2A,RWD domain containing 2A [Source:HGNC Symbol;Acc:HGNC:21385],ENTREZGENE_ACC
97,ENSG00000119640,ACYP1,acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179],ENTREZGENE_ACC
98,ENSG00000170634,ACYP2,acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180],ENTREZGENE_ACC
203,ENSG00000106992,AK1,adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361],ENTREZGENE_ACC
204,ENSG00000004455,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],ENTREZGENE_ACC
26289,ENSG00000154027,AK5,adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365],ENTREZGENE_ACC
2030,ENSG00000112759,SLC29A1,solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003],ENTREZGENE_ACC
51005,ENSG00000162066,AMDHD2,amidohydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24262],ENTREZGENE_ACC
189,ENSG00000172482,AGXT,alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341],ENTREZGENE_ACC
64850,ENSG00000164089,ETNPPL,ethanolamine-phosphate phospho-lyase [Source:HGNC Symbol;Acc:HGNC:14404],ENTREZGENE_ACC
1738,ENSG00000091140,DLD,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898],ENTREZGENE_ACC
1743,ENSG00000119689,DLST,dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911],ENTREZGENE_ACC
4967,ENSG00000105953,OGDH,oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124],ENTREZGENE_ACC
8050,ENSG00000110435,PDHX,pyruvate dehydrogenase complex component X [Source:HGNC Symbol;Acc:HGNC:21350],ENTREZGENE_ACC
1468,ENSG00000183048,SLC25A10,solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980],ENTREZGENE_ACC
8402,ENSG00000108528,SLC25A11,solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981],ENTREZGENE_ACC
124,ENSG00000187758,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]",ENTREZGENE_ACC
125,ENSG00000196616,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]",ENTREZGENE_ACC
126,ENSG00000248144,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]",ENTREZGENE_ACC
127,ENSG00000198099,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]",ENTREZGENE_ACC
128,ENSG00000197894,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]",ENTREZGENE_ACC
130,ENSG00000172955,ADH6,alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255],ENTREZGENE_ACC
131,ENSG00000196344,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]",ENTREZGENE_ACC
137872,ENSG00000147576,ADHFE1,alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354],ENTREZGENE_ACC
284273,ENSG00000180011,PTGR3,prostaglandin reductase 3 [Source:HGNC Symbol;Acc:HGNC:28697],ENTREZGENE_ACC
216,ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402],ENTREZGENE_ACC
218,ENSG00000108602,ALDH3A1,aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405],ENTREZGENE_ACC
219,ENSG00000137124,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407],ENTREZGENE_ACC
220,ENSG00000184254,ALDH1A3,aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409],ENTREZGENE_ACC
221,ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410],ENTREZGENE_ACC
222,ENSG00000132746,ALDH3B2,aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411],ENTREZGENE_ACC
223,ENSG00000143149,ALDH9A1,aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412],ENTREZGENE_ACC
224,ENSG00000072210,ALDH3A2,aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403],ENTREZGENE_ACC
501,ENSG00000164904,ALDH7A1,aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877],ENTREZGENE_ACC
8854,ENSG00000128918,ALDH1A2,aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472],ENTREZGENE_ACC
217,ENSG00000111275,ALDH2,aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404],ENTREZGENE_ACC
10327,ENSG00000117448,AKR1A1,aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380],ENTREZGENE_ACC
231,ENSG00000085662,AKR1B1,aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381],ENTREZGENE_ACC
8574,ENSG00000053371,AKR7A2,aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389],ENTREZGENE_ACC
10020,ENSG00000159921,GNE,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657],ENTREZGENE_ACC
18,ENSG00000183044,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],ENTREZGENE_ACC
10165,ENSG00000004864,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],ENTREZGENE_ACC
8604,ENSG00000115840,SLC25A12,solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982],ENTREZGENE_ACC
2805,ENSG00000120053,GOT1,glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432],ENTREZGENE_ACC
2806,ENSG00000125166,GOT2,glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433],ENTREZGENE_ACC
10476,ENSG00000167863,ATP5PD,ATP synthase peripheral stalk subunit d [Source:HGNC Symbol;Acc:HGNC:845],ENTREZGENE_ACC
10632,ENSG00000167283,ATP5MG,ATP synthase membrane subunit g [Source:HGNC Symbol;Acc:HGNC:14247],ENTREZGENE_ACC
267020,ENSG00000249222,ATP5MGL,ATP synthase membrane subunit g like [Source:HGNC Symbol;Acc:HGNC:13213],ENTREZGENE_ACC
27109,ENSG00000125375,DMAC2L,distal membrane arm assembly component 2 like [Source:HGNC Symbol;Acc:HGNC:18799],ENTREZGENE_ACC
4905,ENSG00000073969,NSF,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]",ENTREZGENE_ACC
498,ENSG00000152234,ATP5F1A,ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823],ENTREZGENE_ACC
506,ENSG00000110955,ATP5F1B,ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830],ENTREZGENE_ACC
509,ENSG00000165629,ATP5F1C,ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833],ENTREZGENE_ACC
513,ENSG00000099624,ATP5F1D,ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837],ENTREZGENE_ACC
514,ENSG00000124172,ATP5F1E,ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838],ENTREZGENE_ACC
515,ENSG00000116459,ATP5PB,ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840],ENTREZGENE_ACC
516,ENSG00000159199,ATP5MC1,ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:HGNC:841],ENTREZGENE_ACC
517,ENSG00000135390,ATP5MC2,ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842],ENTREZGENE_ACC
518,ENSG00000154518,ATP5MC3,ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843],ENTREZGENE_ACC
521,ENSG00000169020,ATP5ME,ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846],ENTREZGENE_ACC
522,ENSG00000154723,ATP5PF,ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847],ENTREZGENE_ACC
539,ENSG00000241837,ATP5PO,ATP synthase peripheral stalk subunit OSCP [Source:HGNC Symbol;Acc:HGNC:850],ENTREZGENE_ACC
9551,ENSG00000241468,ATP5MF,ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848],ENTREZGENE_ACC
56898,ENSG00000164039,BDH2,3-hydroxybutyrate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:32389],ENTREZGENE_ACC
622,ENSG00000161267,BDH1,3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027],ENTREZGENE_ACC
50814,ENSG00000147383,NSDHL,NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398],ENTREZGENE_ACC
847,ENSG00000121691,CAT,catalase [Source:HGNC Symbol;Acc:HGNC:1516],ENTREZGENE_ACC
2538,ENSG00000131482,G6PC1,glucose-6-phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:4056],ENTREZGENE_ACC
57818,ENSG00000152254,G6PC2,glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906],ENTREZGENE_ACC
92579,ENSG00000141349,G6PC3,glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861],ENTREZGENE_ACC
10423,ENSG00000103502,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769],ENTREZGENE_ACC
1118,ENSG00000133063,CHIT1,chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936],ENTREZGENE_ACC
27159,ENSG00000134216,CHIA,chitinase acidic [Source:HGNC Symbol;Acc:HGNC:17432],ENTREZGENE_ACC
54682,ENSG00000111261,MANSC1,MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505],ENTREZGENE_ACC
55907,ENSG00000111726,CMAS,cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290],ENTREZGENE_ACC
1431,ENSG00000062485,CS,citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422],ENTREZGENE_ACC
2745,ENSG00000173221,GLRX,glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330],ENTREZGENE_ACC
51022,ENSG00000023572,GLRX2,glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065],ENTREZGENE_ACC
60386,ENSG00000125454,SLC25A19,solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409],ENTREZGENE_ACC
1621,ENSG00000123454,DBH,dopamine beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:2689],ENTREZGENE_ACC
26002,ENSG00000079931,MOXD1,monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063],ENTREZGENE_ACC
5223,ENSG00000171314,PGAM1,phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888],ENTREZGENE_ACC
5224,ENSG00000164708,PGAM2,phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889],ENTREZGENE_ACC
669,ENSG00000172331,BPGM,bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093],ENTREZGENE_ACC
64080,ENSG00000171174,RBKS,ribokinase [Source:HGNC Symbol;Acc:HGNC:30325],ENTREZGENE_ACC
51071,ENSG00000023697,DERA,deoxyribose-phosphate aldolase [Source:HGNC Symbol;Acc:HGNC:24269],ENTREZGENE_ACC
2023,ENSG00000074800,ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],ENTREZGENE_ACC
2026,ENSG00000111674,ENO2,enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353],ENTREZGENE_ACC
2027,ENSG00000108515,ENO3,enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354],ENTREZGENE_ACC
8790,ENSG00000254685,FPGT,fucose-1-phosphate guanylyltransferase [Source:HGNC Symbol;Acc:HGNC:3825],ENTREZGENE_ACC
116285,ENSG00000166743,ACSM1,acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049],ENTREZGENE_ACC
226,ENSG00000149925,ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",ENTREZGENE_ACC
229,ENSG00000136872,ALDOB,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",ENTREZGENE_ACC
230,ENSG00000109107,ALDOC,"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]",ENTREZGENE_ACC
2203,ENSG00000165140,FBP1,fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606],ENTREZGENE_ACC
8789,ENSG00000130957,FBP2,fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607],ENTREZGENE_ACC
5207,ENSG00000158571,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:8872]",ENTREZGENE_ACC
5208,ENSG00000123836,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]",ENTREZGENE_ACC
5209,ENSG00000170525,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]",ENTREZGENE_ACC
5210,ENSG00000114268,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]",ENTREZGENE_ACC
197258,ENSG00000157353,FCSK,fucose kinase [Source:HGNC Symbol;Acc:HGNC:29500],ENTREZGENE_ACC
2271,ENSG00000091483,FH,fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700],ENTREZGENE_ACC
2820,ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456],ENTREZGENE_ACC
10007,ENSG00000113552,GNPDA1,glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417],ENTREZGENE_ACC
132789,ENSG00000163281,GNPDA2,glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526],ENTREZGENE_ACC
2539,ENSG00000160211,G6PD,glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057],ENTREZGENE_ACC
2542,ENSG00000137700,SLC37A4,solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061],ENTREZGENE_ACC
2592,ENSG00000213930,GALT,galactose-1-phosphate uridylyltransferase [Source:HGNC Symbol;Acc:HGNC:4135],ENTREZGENE_ACC
2597,ENSG00000111640,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141],ENTREZGENE_ACC
26330,ENSG00000105679,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]",ENTREZGENE_ACC
2673,ENSG00000198380,GFPT1,glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241],ENTREZGENE_ACC
9945,ENSG00000131459,GFPT2,glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242],ENTREZGENE_ACC
7264,ENSG00000104522,GFUS,GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390],ENTREZGENE_ACC
2992,ENSG00000163754,GYG1,glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699],ENTREZGENE_ACC
2997,ENSG00000104812,GYS1,glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706],ENTREZGENE_ACC
2998,ENSG00000111713,GYS2,glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707],ENTREZGENE_ACC
8908,ENSG00000056998,GYG2,glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700],ENTREZGENE_ACC
8659,ENSG00000159423,ALDH4A1,aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406],ENTREZGENE_ACC
2632,ENSG00000114480,GBE1,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",ENTREZGENE_ACC
178,ENSG00000162688,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]",ENTREZGENE_ACC
5834,ENSG00000100994,PYGB,glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723],ENTREZGENE_ACC
5836,ENSG00000100504,PYGL,glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725],ENTREZGENE_ACC
5837,ENSG00000068976,PYGM,"glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]",ENTREZGENE_ACC
79751,ENSG00000177542,SLC25A22,solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:HGNC:19954],ENTREZGENE_ACC
83733,ENSG00000182902,SLC25A18,solute carrier family 25 member 18 [Source:HGNC Symbol;Acc:HGNC:10988],ENTREZGENE_ACC
160287,ENSG00000166800,LDHAL6A,lactate dehydrogenase A like 6A [Source:HGNC Symbol;Acc:HGNC:28335],ENTREZGENE_ACC
197257,ENSG00000166816,LDHD,lactate dehydrogenase D [Source:HGNC Symbol;Acc:HGNC:19708],ENTREZGENE_ACC
3939,ENSG00000134333,LDHA,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],ENTREZGENE_ACC
3945,ENSG00000111716,LDHB,lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541],ENTREZGENE_ACC
3948,ENSG00000166796,LDHC,lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544],ENTREZGENE_ACC
55293,ENSG00000151116,UEVLD,UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866],ENTREZGENE_ACC
92483,ENSG00000171989,LDHAL6B,lactate dehydrogenase A like 6B [Source:HGNC Symbol;Acc:HGNC:21481],ENTREZGENE_ACC
51179,ENSG00000116882,HAO2,hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810],ENTREZGENE_ACC
54363,ENSG00000101323,HAO1,hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809],ENTREZGENE_ACC
9380,ENSG00000137106,GRHPR,glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570],ENTREZGENE_ACC
3029,ENSG00000063854,HAGH,hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805],ENTREZGENE_ACC
84264,ENSG00000103253,HAGHL,hydroxyacylglutathione hydrolase like [Source:HGNC Symbol;Acc:HGNC:14177],ENTREZGENE_ACC
2762,ENSG00000112699,GMDS,"GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:4369]",ENTREZGENE_ACC
5226,ENSG00000142657,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891],ENTREZGENE_ACC
2645,ENSG00000106633,GCK,glucokinase [Source:HGNC Symbol;Acc:HGNC:4195],ENTREZGENE_ACC
3098,ENSG00000156515,HK1,hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922],ENTREZGENE_ACC
3099,ENSG00000159399,HK2,hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923],ENTREZGENE_ACC
3101,ENSG00000160883,HK3,hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925],ENTREZGENE_ACC
80201,ENSG00000156510,HKDC1,hexokinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23302],ENTREZGENE_ACC
3419,ENSG00000166411,IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384],ENTREZGENE_ACC
3420,ENSG00000101365,IDH3B,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385],ENTREZGENE_ACC
3421,ENSG00000067829,IDH3G,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386],ENTREZGENE_ACC
3417,ENSG00000138413,IDH1,isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382],ENTREZGENE_ACC
3418,ENSG00000182054,IDH2,isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383],ENTREZGENE_ACC
55586,ENSG00000100253,MIOX,myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522],ENTREZGENE_ACC
8801,ENSG00000172340,SUCLG2,succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450],ENTREZGENE_ACC
8802,ENSG00000163541,SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449],ENTREZGENE_ACC
8803,ENSG00000136143,SUCLA2,succinate-CoA ligase ADP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11448],ENTREZGENE_ACC
3795,ENSG00000138030,KHK,ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315],ENTREZGENE_ACC
124637,ENSG00000182224,CYB5D1,cytochrome b5 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26516],ENTREZGENE_ACC
4329,ENSG00000119711,ALDH6A1,aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179],ENTREZGENE_ACC
5832,ENSG00000059573,ALDH18A1,aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722],ENTREZGENE_ACC
7915,ENSG00000112294,ALDH5A1,aldehyde dehydrogenase 5 family member A1 [Source:HGNC Symbol;Acc:HGNC:408],ENTREZGENE_ACC
2739,ENSG00000124767,GLO1,glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323],ENTREZGENE_ACC
2548,ENSG00000171298,GAA,alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065],ENTREZGENE_ACC
2595,ENSG00000214013,GANC,"glucosidase alpha, neutral C [Source:HGNC Symbol;Acc:HGNC:4139]",ENTREZGENE_ACC
8972,ENSG00000257335,MGAM,maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043],ENTREZGENE_ACC
4351,ENSG00000178802,MPI,mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216],ENTREZGENE_ACC
4190,ENSG00000014641,MDH1,malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970],ENTREZGENE_ACC
4191,ENSG00000146701,MDH2,malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971],ENTREZGENE_ACC
4200,ENSG00000082212,ME2,malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984],ENTREZGENE_ACC
